month,service_line,motion,MRR,contracted_hours,utilized_hours,sla_met
2024-06,Video Remote Interpreting,New,45448,2952,2196,True
2024-06,Video Remote Interpreting,Expansion,17695,2756,2321,True
2024-06,Video Remote Interpreting,Renewal,83610,2843,2237,True
2024-06,Video Remote Interpreting,Churn,-7799,2746,2283,True
2024-06,On-site Interpreting,New,30537,1708,1300,True
2024-06,On-site Interpreting,Expansion,12112,1723,1305,True
2024-06,On-site Interpreting,Renewal,56921,1838,1377,True
2024-06,On-site Interpreting,Churn,-5290,1776,1316,True
2024-06,Forum,New,14628,912,600,True
2024-06,Forum,Expansion,6327,871,508,True
2024-06,Forum,Renewal,30855,889,535,True
2024-06,Forum,Churn,-2471,894,568,True
2024-06,Translation,New,10209,573,428,False
2024-06,Translation,Expansion,4027,593,423,True
2024-06,Translation,Renewal,20477,602,424,True
2024-06,Translation,Churn,-1986,630,425,True
2024-06,VRS for Zoom,New,20255,1168,931,True
2024-06,VRS for Zoom,Expansion,7896,1139,899,True
2024-06,VRS for Zoom,Renewal,39452,1197,863,True
2024-06,VRS for Zoom,Churn,-3567,1181,811,True
2024-07,Video Remote Interpreting,New,46172,2761,2090,True
2024-07,Video Remote Interpreting,Expansion,18525,3024,2500,True
2024-07,Video Remote Interpreting,Renewal,90740,2891,2413,False
2024-07,Video Remote Interpreting,Churn,-7794,2785,2202,True
2024-07,On-site Interpreting,New,32275,1789,1293,True
2024-07,On-site Interpreting,Expansion,12060,1866,1212,True
2024-07,On-site Interpreting,Renewal,58994,1688,1184,True
2024-07,On-site Interpreting,Churn,-4934,1874,1368,True
2024-07,Forum,New,15190,935,599,True
2024-07,Forum,Expansion,6226,901,636,True
2024-07,Forum,Renewal,29217,879,597,True
2024-07,Forum,Churn,-2366,864,611,True
2024-07,Translation,New,9734,603,461,True
2024-07,Translation,Expansion,3816,588,457,True
2024-07,Translation,Renewal,23015,584,394,True
2024-07,Translation,Churn,-1994,614,437,True
2024-07,VRS for Zoom,New,20428,1237,1017,True
2024-07,VRS for Zoom,Expansion,7390,1245,1042,True
2024-07,VRS for Zoom,Renewal,37579,1213,1003,True
2024-07,VRS for Zoom,Churn,-3554,1196,902,True
2024-07,Video Remote Interpreting,New,45795,2758,2459,False
2024-07,Video Remote Interpreting,Expansion,19382,2766,2335,True
2024-07,Video Remote Interpreting,Renewal,94340,2951,2465,True
2024-07,Video Remote Interpreting,Churn,-8121,2873,2122,True
2024-07,On-site Interpreting,New,30212,1758,1419,True
2024-07,On-site Interpreting,Expansion,13031,1842,1462,True
2024-07,On-site Interpreting,Renewal,62301,1768,1336,True
2024-07,On-site Interpreting,Churn,-4692,1825,1344,False
2024-07,Forum,New,16002,914,630,True
2024-07,Forum,Expansion,6129,884,595,True
2024-07,Forum,Renewal,27397,928,645,True
2024-07,Forum,Churn,-2462,941,679,True
2024-07,Translation,New,10316,594,401,True
2024-07,Translation,Expansion,4182,633,483,True
2024-07,Translation,Renewal,21532,603,439,True
2024-07,Translation,Churn,-1934,614,429,True
2024-07,VRS for Zoom,New,20856,1204,962,True
2024-07,VRS for Zoom,Expansion,7864,1201,1017,True
2024-07,VRS for Zoom,Renewal,41724,1176,829,True
2024-07,VRS for Zoom,Churn,-3469,1220,958,True
2024-08,Video Remote Interpreting,New,41997,2901,2530,True
2024-08,Video Remote Interpreting,Expansion,18524,2802,2169,True
2024-08,Video Remote Interpreting,Renewal,99420,3025,2409,False
2024-08,Video Remote Interpreting,Churn,-7891,3018,2433,True
2024-08,On-site Interpreting,New,31808,2018,1562,True
2024-08,On-site Interpreting,Expansion,13026,1823,1313,True
2024-08,On-site Interpreting,Renewal,62777,1858,1375,True
2024-08,On-site Interpreting,Churn,-5008,1736,1330,True
2024-08,Forum,New,14770,919,628,True
2024-08,Forum,Expansion,6478,884,586,True
2024-08,Forum,Renewal,29205,929,594,False
2024-08,Forum,Churn,-2468,869,522,True
2024-08,Translation,New,10357,612,439,True
2024-08,Translation,Expansion,4338,593,399,True
2024-08,Translation,Renewal,23255,637,447,True
2024-08,Translation,Churn,-1835,599,417,True
2024-08,VRS for Zoom,New,20932,1217,1012,True
2024-08,VRS for Zoom,Expansion,8071,1246,907,True
2024-08,VRS for Zoom,Renewal,41971,1223,1043,False
2024-08,VRS for Zoom,Churn,-3731,1220,901,True
2024-09,Video Remote Interpreting,New,45646,2824,2332,True
2024-09,Video Remote Interpreting,Expansion,18605,2975,2547,True
2024-09,Video Remote Interpreting,Renewal,91725,2935,2537,True
2024-09,Video Remote Interpreting,Churn,-7740,2814,2292,True
2024-09,On-site Interpreting,New,31588,1962,1438,True
2024-09,On-site Interpreting,Expansion,12601,1861,1377,False
2024-09,On-site Interpreting,Renewal,66564,1949,1466,True
2024-09,On-site Interpreting,Churn,-4674,1852,1440,True
2024-09,Forum,New,16034,953,666,True
2024-09,Forum,Expansion,6433,918,636,False
2024-09,Forum,Renewal,30134,827,505,True
2024-09,Forum,Churn,-2496,896,583,True
2024-09,Translation,New,10394,660,475,True
2024-09,Translation,Expansion,4514,621,422,True
2024-09,Translation,Renewal,23286,593,420,True
2024-09,Translation,Churn,-2032,619,438,True
2024-09,VRS for Zoom,New,21389,1261,945,True
2024-09,VRS for Zoom,Expansion,8854,1223,896,True
2024-09,VRS for Zoom,Renewal,43185,1181,943,True
2024-09,VRS for Zoom,Churn,-3481,1261,925,True
2024-10,Video Remote Interpreting,New,47789,2869,2423,False
2024-10,Video Remote Interpreting,Expansion,20738,3026,2437,True
2024-10,Video Remote Interpreting,Renewal,99717,2922,2382,True
2024-10,Video Remote Interpreting,Churn,-7781,2848,2259,True
2024-10,On-site Interpreting,New,32253,1891,1450,True
2024-10,On-site Interpreting,Expansion,13290,1893,1307,True
2024-10,On-site Interpreting,Renewal,63208,1779,1242,True
2024-10,On-site Interpreting,Churn,-4885,1856,1348,True
2024-10,Forum,New,16344,944,657,True
2024-10,Forum,Expansion,5906,925,548,True
2024-10,Forum,Renewal,30094,965,702,True
2024-10,Forum,Churn,-2388,949,625,True
2024-10,Translation,New,11174,613,461,True
2024-10,Translation,Expansion,4135,642,480,True
2024-10,Translation,Renewal,22928,607,423,True
2024-10,Translation,Churn,-1875,632,423,True
2024-10,VRS for Zoom,New,21594,1339,984,True
2024-10,VRS for Zoom,Expansion,8651,1263,1003,True
2024-10,VRS for Zoom,Renewal,42735,1302,1004,True
2024-10,VRS for Zoom,Churn,-3324,1245,930,True
2024-11,Video Remote Interpreting,New,51885,2927,2347,True
2024-11,Video Remote Interpreting,Expansion,19440,2794,2161,True
2024-11,Video Remote Interpreting,Renewal,103275,3181,2501,False
2024-11,Video Remote Interpreting,Churn,-7835,2921,2416,True
2024-11,On-site Interpreting,New,32844,1863,1274,True
2024-11,On-site Interpreting,Expansion,13421,1870,1339,True
2024-11,On-site Interpreting,Renewal,67479,1896,1353,False
2024-11,On-site Interpreting,Churn,-4836,1975,1500,False
2024-11,Forum,New,17162,975,686,True
2024-11,Forum,Expansion,6675,912,645,True
2024-11,Forum,Renewal,29549,980,699,True
2024-11,Forum,Churn,-2398,910,610,True
2024-11,Translation,New,10934,650,458,True
2024-11,Translation,Expansion,4187,637,458,True
2024-11,Translation,Renewal,23753,625,443,True
2024-11,Translation,Churn,-1932,624,396,True
2024-11,VRS for Zoom,New,21570,1231,1040,True
2024-11,VRS for Zoom,Expansion,9169,1259,996,True
2024-11,VRS for Zoom,Renewal,43606,1322,921,True
2024-11,VRS for Zoom,Churn,-3321,1258,1028,True
2024-12,Video Remote Interpreting,New,48960,3047,2593,True
2024-12,Video Remote Interpreting,Expansion,20655,2980,2346,True
2024-12,Video Remote Interpreting,Renewal,99890,2956,2568,True
2024-12,Video Remote Interpreting,Churn,-7282,2851,2267,True
2024-12,On-site Interpreting,New,31151,1844,1301,True
2024-12,On-site Interpreting,Expansion,14215,1877,1361,True
2024-12,On-site Interpreting,Renewal,61239,1894,1325,True
2024-12,On-site Interpreting,Churn,-4516,1857,1385,True
2024-12,Forum,New,16851,912,651,True
2024-12,Forum,Expansion,6797,950,593,True
2024-12,Forum,Renewal,31392,967,652,True
2024-12,Forum,Churn,-2509,943,669,True
2024-12,Translation,New,11916,610,416,True
2024-12,Translation,Expansion,4232,608,425,True
2024-12,Translation,Renewal,24210,621,430,True
2024-12,Translation,Churn,-1862,676,494,True
2024-12,VRS for Zoom,New,21667,1260,959,True
2024-12,VRS for Zoom,Expansion,8352,1198,838,True
2024-12,VRS for Zoom,Renewal,46542,1265,1064,True
2024-12,VRS for Zoom,Churn,-3483,1232,999,True
2025-01,Video Remote Interpreting,New,49237,3029,2522,True
2025-01,Video Remote Interpreting,Expansion,19254,2873,2337,True
2025-01,Video Remote Interpreting,Renewal,97604,2981,2482,True
2025-01,Video Remote Interpreting,Churn,-8156,3093,2381,True
2025-01,On-site Interpreting,New,32886,1975,1466,True
2025-01,On-site Interpreting,Expansion,12468,1905,1290,True
2025-01,On-site Interpreting,Renewal,71277,1869,1405,True
2025-01,On-site Interpreting,Churn,-4679,1959,1446,True
2025-01,Forum,New,16475,986,674,True
2025-01,Forum,Expansion,6599,956,645,True
2025-01,Forum,Renewal,32190,976,686,True
2025-01,Forum,Churn,-2539,946,657,True
2025-01,Translation,New,11210,626,491,True
2025-01,Translation,Expansion,4440,661,418,True
2025-01,Translation,Renewal,25424,639,466,True
2025-01,Translation,Churn,-1918,676,509,True
